Date,Time,Open,High,Low,Close,Volume
2007.07.02,00:00,123.200,123.270,122.070,122.270,3056
2007.07.03,00:00,122.270,122.680,122.140,122.430,2566
2007.07.04,00:00,122.430,122.730,122.190,122.730,1626
2007.07.05,00:00,122.730,123.000,122.320,122.940,2856
2007.07.06,00:00,122.940,123.550,122.830,123.310,2356
2007.07.07,00:00,123.310,123.310,123.310,123.310,1
2007.07.08,00:00,123.310,123.480,123.310,123.430,221
2007.07.09,00:00,123.430,123.650,123.190,123.320,1916
2007.07.10,00:00,123.320,123.460,120.950,121.740,5026
2007.07.11,00:00,121.740,122.520,121.050,122.330,4276
2007.07.12,00:00,122.330,122.570,121.820,122.410,2926
2007.07.13,00:00,122.410,122.590,121.890,121.930,2206
2007.07.14,00:00,121.930,121.930,121.930,121.930,1
2007.07.15,00:00,121.930,122.110,121.810,122.030,501
2007.07.16,00:00,122.030,122.180,121.540,121.820,2916
2007.07.17,00:00,121.820,122.400,121.690,122.070,2556
2007.07.18,00:00,122.070,122.270,121.570,121.920,3076
2007.07.19,00:00,121.920,122.180,121.760,122.090,2316
2007.07.20,00:00,122.090,122.430,120.870,121.270,3286
2007.07.21,00:00,121.270,121.270,121.270,121.270,1
2007.07.22,00:00,121.270,121.670,121.270,121.290,781
2007.07.23,00:00,121.290,121.490,120.790,120.970,3246
2007.07.24,00:00,120.970,120.980,120.000,120.240,3896
2007.07.25,00:00,120.240,120.630,119.790,120.530,4356
2007.07.26,00:00,120.530,120.720,117.990,118.830,6606
2007.07.27,00:00,118.830,119.280,118.420,118.590,5366
2007.07.28,00:00,118.590,118.590,118.590,118.590,1
2007.07.29,00:00,118.590,118.590,118.000,118.350,941
2007.07.30,00:00,118.350,119.240,118.060,119.190,4506
2007.07.31,00:00,119.190,119.490,118.330,118.480,4196
2007.08.01,00:00,118.480,119.160,117.580,118.880,6286
2007.08.02,00:00,118.880,119.350,118.330,119.120,3366
2007.08.03,00:00,119.120,119.310,117.930,118.050,3876
2007.08.04,00:00,118.050,118.050,118.050,118.050,1
2007.08.05,00:00,118.050,118.050,117.170,117.560,1271
2007.08.06,00:00,117.560,119.100,117.350,118.730,4896
2007.08.07,00:00,118.730,118.990,117.940,118.960,4056
2007.08.08,00:00,118.960,119.830,118.720,119.680,3426
2007.08.09,00:00,119.680,119.740,117.810,117.910,5016
2007.08.10,00:00,117.910,118.740,117.190,118.370,5226
2007.08.11,00:00,118.370,118.370,118.370,118.370,1
2007.08.12,00:00,118.370,118.470,118.140,118.260,551
2007.08.13,00:00,118.260,118.540,117.670,118.250,3696
2007.08.14,00:00,118.250,118.510,117.340,117.540,4876
2007.08.15,00:00,117.540,117.650,116.230,116.270,5636
2007.08.16,00:00,116.270,116.740,112.000,113.700,13336
2007.08.17,00:00,113.700,114.870,111.580,114.360,11006
2007.08.18,00:00,114.360,114.360,114.360,114.360,1
2007.08.19,00:00,114.360,114.420,113.680,114.220,1341
2007.08.20,00:00,114.220,115.500,114.150,114.740,6286
2007.08.21,00:00,114.740,115.220,113.970,114.400,5946
2007.08.22,00:00,114.400,115.950,114.240,115.810,4696
2007.08.23,00:00,115.810,117.120,115.580,116.070,6346
2007.08.24,00:00,116.070,116.430,115.520,116.410,4866
2007.08.25,00:00,116.410,116.410,116.410,116.410,1
2007.08.26,00:00,116.410,116.730,116.330,116.630,581
2007.08.27,00:00,116.630,116.640,115.340,115.600,3356
2007.08.28,00:00,115.600,115.760,113.850,114.000,4886
2007.08.29,00:00,114.000,116.230,113.920,115.740,5366
2007.08.30,00:00,115.740,116.070,115.200,115.980,5406
2007.08.31,00:00,115.980,116.590,115.490,115.780,5346
2007.09.01,00:00,115.780,115.780,115.780,115.780,1
2007.09.02,00:00,115.780,115.910,115.690,115.780,441
2007.09.03,00:00,115.780,116.100,115.640,115.740,2466
2007.09.04,00:00,115.740,116.440,115.320,116.430,4296
2007.09.05,00:00,116.430,116.450,114.790,114.940,4376
2007.09.06,00:00,114.940,115.640,114.880,115.460,3906
2007.09.07,00:00,115.460,115.460,113.110,113.360,5106
2007.09.08,00:00,113.360,113.360,113.360,113.360,1
2007.09.09,00:00,113.360,113.360,112.590,112.860,1041
2007.09.10,00:00,112.860,113.970,112.710,113.530,5116
2007.09.11,00:00,113.530,114.360,113.400,114.100,3696
2007.09.12,00:00,114.100,114.350,113.770,114.230,3356
2007.09.13,00:00,114.230,115.490,114.110,114.780,4156
2007.09.14,00:00,114.780,115.380,114.330,115.320,4346
2007.09.15,00:00,115.320,115.320,115.320,115.320,1
2007.09.16,00:00,115.320,115.320,115.090,115.230,371
2007.09.17,00:00,115.230,115.370,114.660,115.020,3576
2007.09.18,00:00,115.020,116.370,114.770,115.760,4246
2007.09.19,00:00,115.760,116.320,115.650,115.960,3566
2007.09.20,00:00,115.960,116.000,113.970,114.960,5426
